eid,input_text,pred
4-ErDo1ggAg0DWrVwPa-IQ,very friendly staff [SEP] awesome Dr [SEP] well glasses [SEP] great deals [SEP] very nice Everyone [SEP] best glasses [SEP] very helpful staff [SEP] welcoming place [SEP] super friendly prescription [SEP] state of the art vision services [SEP] top notch care [SEP] always been efficient and friendly staff [SEP] excellent customer service,this place is awesome. the staff is very friendly and helpful. the staff are always very nice and friendly and the doctors are top notch. i have been coming here for a few years now and have never had a bad experience. the doctors have always been very friendly as well and are always willing to answer any questions
5HGO1CxM0qPIS_u4L90Bvw,less expensive car exhaust [SEP] Good work [SEP] decent price [SEP] top notch Service [SEP] extremely happy setup [SEP] outstanding Price [SEP] amazing job [SEP] fair price [SEP] Completely satisfied knowledge [SEP] flawless service,i have been going to this car wash for over a year now and i have never had a bad experience. the service is top notch and the price is fair. the price of the shop is fair for the quality of work you get. the service was above and beyond what i was looking for and the work
5OqrwhtZ3mcmUSwLINZTWQ,great food [SEP] better asian food [SEP] high end restaurant [SEP] most delicious tea [SEP] not so awesome menu [SEP] enjoyed experience [SEP] really attentive staff [SEP] high end decor [SEP] recommend Beef Chow Fun [SEP] best walnut prawns [SEP] fried flounder [SEP] good service [SEP] impeccable service [SEP] infectious smile [SEP] great Jackson,this is one of the best asian food restaurants in the area. the decor is fun and the service is great. the staff is really attentive and the food is really good. i highly recommend the house chow mein and the beef fried rice. it is the best i've had in a long time. the house fried rice is
5u27mhDjcJ4Y7QbDhRyaXg,delicious tea [SEP] friendly and service [SEP] Best bubble tea [SEP] traditional green tea [SEP] accurate order [SEP] recommend Thai Iced Tea [SEP] incredibly fast service [SEP] Nice little shop [SEP] a little disappointing boba [SEP] nice place [SEP] nice people [SEP] nice tea there [SEP] prefered taste [SEP] very happy with coconut black tea [SEP] warm tapioca,this is a nice little coffee shop. the service was quick and friendly. the people were very nice and friendly. i had the thai tea and it was the best i have had in a long time. the hot tea was delicious and the tea was warm and fresh. i also had the green tea which was a nice
4SxQLZ2EcjlFRG6BvCi0iA,top notch service [SEP] great decor [SEP] missed appointment [SEP] no - show appointment [SEP] always friendly answering phones [SEP] professional courteous staff [SEP] very clean and organized store front [SEP] booked appointment [SEP] professional staff [SEP] over $150 appointments [SEP] super talented hair stylist [SEP] awesome clean place [SEP] less then satisfying massages [SEP] mediocre facials,i have been going to this salon for over a year now and i have to say that i have never had a bad experience. the salon is clean and the staff is super friendly and professional. the salon itself is very clean and well maintained. the staff are always professional and professional. i have had great experiences with
0G1y7uV7w1D2uziS4Lt_Dw,great service [SEP] always fresh food [SEP] delicious chicken enchiladas [SEP] very friendly and welcoming staff [SEP] very good seating [SEP] recommend restaurant [SEP] great spot [SEP] abrupt server [SEP] simple tortilla [SEP] no sauce beef burrito [SEP] decent shrimp dish [SEP] Authentic Mexican [SEP] only edible enchilada [SEP] very sad fajita meal [SEP] crappy food,this is a great spot for authentic mexican food. the staff is very welcoming and friendly. the food is very good and the service is great. i highly recommend the carne asada tacos and the carne asada. the enchiladas are fresh and the salsa is very good. i would recommend this restaurant to anyone looking for authentic mexican.
HmcLntfpgbvYeLOvlhOwil,delicious food [SEP] hearty meal [SEP] extremely friendly staff [SEP] fast food [SEP] very reasonable price [SEP] decently priced [SEP] favorite sushirrito [SEP] fresh Everything [SEP] becoming Sushi [SEP] four out of five star place [SEP] fewer options [SEP] less compelling flavors [SEP] a bit smaller burritos [SEP] strong jalape̱o [SEP] small meal,"this is my favorite sushi place in the area. the food is delicious and the price is very reasonable. the staff is extremely friendly and the place is extremely clean. the only downside is that the food can be a bit pricey for what you get. the ingredients are a bit on the high side, but everything is fresh"
5ts_r4K6y103zNXt0k6nEg,great place [SEP] amazing food [SEP] pretty good service [SEP] fair price [SEP] great Patio seating [SEP] awesome Waiters [SEP] middle of the road Food [SEP] huge Fiesta platter [SEP] good value [SEP] plenty of food [SEP] thin chips [SEP] delicious street tacos [SEP] quite satisfied meals [SEP] Pretty decent prices [SEP] amazing experience,this place is amazing. the food is delicious and the service is great. the prices are pretty fair and the food comes out pretty quick. the portions are huge and the price is fair for the amount of food you get. the chips and salsa are amazing. the chips are amazing and the salsa is pretty good too. the
3BGzRYh6GQbZz3LGAGb-sQ,very good service [SEP] good for Food [SEP] lack of traffic [SEP] not enough staff [SEP] High priced DOG [SEP] barely edible boneless chicken wings [SEP] terrible bartender [SEP] sad establishment [SEP] better food quality [SEP] rude staff [SEP] Great place [SEP] Friendly staff [SEP] good happy hour menu [SEP] quickly drink [SEP] enjoyed food,i really enjoyed my visit to this place. the staff was friendly and the food was good but the service was terrible. i ordered the chicken tenders and they were terrible. the chicken wings were not good at all and the chicken was very dry. the only thing i enjoyed was the lack of customer service. the place was
6ExIH5FoPyMRhtz4p-2K1g,good sushi [SEP] cheap items [SEP] recommend volcano roll [SEP] very thickly sushi [SEP] Good food [SEP] GREAT drinks [SEP] free parking [SEP] worth walk [SEP] Fast friendly service [SEP] great rolls [SEP] nice Atmosphere [SEP] all time favorite dish [SEP] complicated menu [SEP] plenty choices [SEP] enjoyed Rainbow roll,this is my favorite sushi spot to go for sushi. the sushi is great and the service is fast and friendly. they have a great happy hour menu with a nice variety of options. the sushi rolls are good and the rolls are worth the price. i really enjoyed the spicy tuna roll and the sushi roll. the sushi
3xEO9oyGqfO_O8eSlxYTBA,excellent customer [SEP] peaceful foot awakening [SEP] great Spa [SEP] sensitive to message [SEP] Best massage [SEP] Great atmosphere [SEP] so friendly everyone [SEP] wonderful deals [SEP] amazing massages [SEP] awesome customer service [SEP] Great prices [SEP] Awesome place [SEP] 90 min massage [SEP] Absolutely incredible [SEP] great find,this place is awesome! the customer service is great and everyone is friendly. the atmosphere is relaxing and relaxing. the massage prices are awesome and the massages are awesome. the massage therapists are the best i've had in a long time. i will be coming back to this place for a great massage.
pujrdcbjFHJFixiSDMtvRm,stale food [SEP] fresh Biryani [SEP] not very hygenic place [SEP] average biryani [SEP] yummy chicken tikka masala [SEP] good Indian place [SEP] Ok Food [SEP] Inexpensive food [SEP] crammed restaurant [SEP] pretty good food [SEP] Small stuffy [SEP] good chicken curry [SEP] waste cheese with peas [SEP] decent Indian food [SEP] little hole in the,this is a little hole in the wall place with good indian food. the food is decent but nothing to rave about. i ordered the chicken tikka masala and it was just ok. the food was ok nothing special. the chicken biryani was ok but the chicken was a little bland for my taste. the paneer was fresh and
53jjJCXpXSRaHfu_ZJePRA,best pancakes [SEP] so Service [SEP] great local [SEP] family owned business [SEP] great coffee [SEP] 3 star pancakes [SEP] no AC [SEP] big floor fan [SEP] enjoy breakfast [SEP] straightforward diner breakfast [SEP] hard ladies [SEP] over easy eggs [SEP] fabulous pancakes [SEP] best location [SEP] best restaurants,"this is one of the best breakfast places i have ever been to. the pancakes are the best i have had in a long long time. the pancakes were great, the pancakes and pancakes were the best i've ever had. the service was great and the ladies working there were so nice and welcoming. the only thing i would"
0Hcks5q-DgJbDlmEWolx4A,Excellent service [SEP] Great food [SEP] not good service [SEP] empty Place [SEP] could not get a server [SEP] over cooked [SEP] free dinner [SEP] good place [SEP] a star service [SEP] lacking flavor [SEP] lots of crab meat [SEP] good dressing [SEP] n't fresh greens [SEP] crisp lettuce [SEP] ok meat,this is a good place to go if you want a good steak. the service was excellent and our server was very friendly. the food came out quickly and the meat was fresh. the steak was fresh and the vegetables were fresh. i had the steak and it was ok but the meat had a lot of flavor. the
7VYFL_s1HK1vOU-dzyW1Ew,friendly Everyone [SEP] Great place [SEP] fresh fruit [SEP] fresh sandwiches [SEP] awesome place [SEP] enjoyed item [SEP] good place [SEP] fresh everything [SEP] awesome lunch spot [SEP] always fresh Z Cafe [SEP] favorite Avocado BLT [SEP] over breakfast [SEP] Great food [SEP] great service [SEP] winner cheese,this place is awesome. everything is fresh and the service is great. everyone is friendly and the food is always fresh and tasty. the breakfast sandwiches are awesome and the breakfast burritos are great. i enjoyed my breakfast here and i will be back for sure. this is a great place for breakfast or lunch.
5WJOM9DefIvLOIrntDIv-A,Great pizza options [SEP] quite good Taste [SEP] good place [SEP] Loved atmosphere [SEP] Amazing Salads [SEP] quick pizza lunch [SEP] pretty dirty bathrooms [SEP] fantastic lunch [SEP] fresh toppings [SEP] cooked pizza [SEP] friendly and efficient Staff [SEP] Great food [SEP] great service [SEP] comfortable environment [SEP] dig place,this place is a great place for a quick lunch. the food is really good and the service is friendly and efficient. the staff is efficient and friendly. the pizza is amazing and the salads are fresh and delicious. the pizza options are great and the toppings are fresh. the atmosphere is comfortable and the dining area is pretty
2z7xERz1Nonyw8Kjr4SffA,Really good fish & shrimp tacos [SEP] favorite full taco [SEP] home made ranch [SEP] hard to beat French fries [SEP] plain tacos [SEP] loved slaw [SEP] fast - casual food [SEP] fast casual pitas [SEP] cool dude [SEP] awesome place [SEP] Highly recommend place [SEP] Insane topping bar [SEP] exceptional fish tacos [SEP] great fish [SEP] perfect French fries,this is a great place to grab a quick bite to eat. i had the fish tacos and they were awesome. i loved the fish taco and the fish tacos. the fish and chips were perfectly seasoned and the fries were awesome. the beer battered fish tacos were also good. the atmosphere is cool and the bar is open
5b_n_RXYQtNf9b2d-O4SzA,great dealership [SEP] Great sales people [SEP] perfect condition cars [SEP] very professional and awarding experience [SEP] excellent customer [SEP] first class experience [SEP] beyond expectation delivery [SEP] awesome Everyone [SEP] helpful people [SEP] expensive to repair Mercedes [SEP] older car [SEP] complimentary sandwiches [SEP] greatest salesman [SEP] pleasurable company [SEP] complimentary products,this is by far the most professional dealership i have ever been to. the sales people were very professional and professional. the sales person was very helpful and answered all of my questions and gave me a great deal for my car buying experience. the sales guy was the most helpful sales person i have dealt with. he was
6C_8Mh4lmLc_QEs3hHleBg,basic charbroiled chicken [SEP] love chicken [SEP] rather bland beans [SEP] ok portions [SEP] adequate Sirloin [SEP] average Beans [SEP] terrible mashed tomatoes [SEP] lacking Service [SEP] annoying cash only [SEP] delicious smell [SEP] best chicken [SEP] great price [SEP] Nice simple Mexican food [SEP] flavorful beans [SEP] close tortillas,i have been to this place a few times and have never been disappointed. the food is mediocre at best and the portions are generous. i love the chicken and the beans and beans are the best i've ever had. the beans are bland and the chicken is just ok. the beans were bland and bland. the chicken was
2S9t90Q0qZWCV7X_u0rxZQ,no table for [SEP] horrible services [SEP] Really bad experiences [SEP] too salty soup [SEP] disappointed service [SEP] busy waitress [SEP] eggy noodles [SEP] milky tonkotsu [SEP] pretty good takoyaki balls [SEP] better priced [SEP] excellent donburi [SEP] favourite comfort foods [SEP] better options [SEP] ruined Raman [SEP] Excellent soup,this is one of my favourite places to eat in the area. the service is excellent and the food is really good. i have been here several times and have never had a bad experience. the soup is really salty and the noodles are the only thing that i have ever had in my life is the soup and
67Pa_CtXthgJzXfY8JzLDQ,Friendly and fun Service [SEP] decent splurge [SEP] Best damn burger [SEP] great fries [SEP] friendly staff [SEP] overpowered bacon patty [SEP] wasn't as enjoyable beef patty [SEP] most interesting burger combinations [SEP] jucy burgers [SEP] astounded fries [SEP] Super nice staff,this place is one of the most fun burger joints i've ever been to. the staff is friendly and the service is great. the burgers are unique and tasty. i had the burger and it was one of my favorites. the burger was the best i've had in a long time. the burger itself was a nice mix of
4oWEqa3paBylDXRfTPB-bA,good food [SEP] great patio [SEP] huge Caesar salad [SEP] excellent Pad Thai with shrimps [SEP] greesy calamari [SEP] Overpriced everything [SEP] low quality food [SEP] my favourite rooftop [SEP] alright Food [SEP] alright service [SEP] similar price range [SEP] decent view [SEP] pretty convenient Location [SEP] Recommend Chicken quesadillas [SEP] watery shrimp pasta,"i've been here a few times and the food is just average. the service is average and the view of the restaurant is great. the food comes out fairly fast, and the drinks are average. i recommend the shrimp appetizer which is pretty decent. the shrimp salad is also average. the chicken caesar salad is a bit overpriced for"
74C1z6cqEdvJVgETTcEodw,Great service [SEP] fantastic food [SEP] delicious Food [SEP] worst Italian``food [SEP] joke food [SEP] beautiful decor [SEP] absolutely amazing service [SEP] very accommodating to general [SEP] impeccable service [SEP] perfect celebration [SEP] perfect dinner date [SEP] awesome Gnocchi [SEP] pricey Drinks [SEP] what food prices [SEP] high price,the food is absolutely amazing. the service is impeccable and the decor is beautiful. the food was beautiful and the service was great. the prices were high for the quality of the food and the drinks were perfect. the only reason i gave it 4 stars is because the service could have been better. the waiter was very accommodating
5vAe61D-AAjGZBFA4Ep8mQ,Great work [SEP] altered ball gown [SEP] recommend place [SEP] very helpful seamstress [SEP] pleased with dress pants [SEP] great price [SEP] very friendly seamstresses [SEP] helpful workers [SEP] quick work,this place is great! the workers were very friendly and helpful. the price was great and the price is very reasonable! i would highly recommend this place to anyone looking for a quick and delicious wedding dress.
373HGZUJm47MupH8QBx8Zg,custom artwork [SEP] comfortable place [SEP] overwhelmingly energy [SEP] great shop [SEP] super sweet artists [SEP] nearly abandoned strip mall [SEP] best Appointments [SEP] less than friendly front desk staff [SEP] great artists [SEP] clean studio [SEP] cleanest shop [SEP] awesome atmosphere [SEP] friendly people [SEP] recommend establishment [SEP] amazing artist,this is one of the best tattoo shops i've ever been to. the atmosphere is great and the staff is friendly and helpful. the shop is super clean and the energy is awesome. i highly recommend this place to anyone looking for a great place to relax and relax with friends and family. the shop itself is clean and
6LtbAtQKXWFj7QcqBnr6SA,great Drinks [SEP] great Meal [SEP] amazing sashimi [SEP] perfect Service [SEP] great Sushi [SEP] clean Restaurant [SEP] Short wait time [SEP] perfect server [SEP] good hibachi [SEP] small shrimp [SEP] no zip or spice Hamachi jalape̱o [SEP] barely warm calamari tempura [SEP] not delicate batter [SEP] prompt Wait person [SEP] terrible Service,went here for the first time and had a great experience. the service was fast and our server was prompt and attentive. the sushi was amazing and the sushi rolls were perfect. the crab cake was perfect and the shrimp tempura was perfect. the tempura was great and the crab rangoon was perfect. we will definitely be back. the
-1UMR00eXtwaeh59pEiDjA,Amazing food [SEP] Very good breakfast [SEP] a little different menu [SEP] awesome bread [SEP] nice and thick soup [SEP] good Prices [SEP] fantastic spot [SEP] perfect Bloody Mary [SEP] Briny olives [SEP] Crispy thick bacon [SEP] excellent Meatloaf [SEP] truly fresh Everything [SEP] fresh eggs [SEP] fluffy waffle [SEP] delicious orange,what a fantastic little spot! the menu is very nice and the menu has a lot of options. the food is fresh and the prices are good. i got the eggs benedict and it was amazing. the bacon was crispy and the potatoes were crispy on the outside and soft on the inside and soft and soft inside. the
65GMvjjrsvyR9pxxAys7qg,rude trash attitudes Employees [SEP] fun place [SEP] large aquarium [SEP] large selection of hunted animal [SEP] large selection ammo [SEP] outlawed Guns [SEP] Disappointed service [SEP] extremely packed place [SEP] long wait [SEP] bigger staff [SEP] fun store [SEP] ripped reinforced fronts [SEP] great service [SEP] mediocre product [SEP] love entry,i love this place. the service is horrible and the employees are extremely rude. the store is large and has a large selection of toys and a large selection. the only reason i am giving it 4 stars is because of the lack of customer service and lack of staff. the store itself is small and the place is
SnbMMMNbZcPYUhPxtrnVrF,lacklustery Cupcakery [SEP] non existent decorations [SEP] huge display cupcake [SEP] adorned walls [SEP] cute pink wallpaper [SEP] delicious frosting [SEP] good cake [SEP] not the best peanut butter [SEP] really expensive for cupcake [SEP] better deserts [SEP] Not a good choice [SEP] enjoyed cupcake [SEP] great Service [SEP] beautiful cupcake [SEP] delicate frosting,i went here for the first time today for a birthday cake and it was really good. i had a chocolate cupcake and it wasn't the best cupcake i have ever had. the frosting was delicious and the frosting had a good amount of frosting and the icing was beautiful. the cake was beautiful and the texture was not
6pQ1DpZo6zygNc3qTch-iA,some good coffee [SEP] love beans [SEP] Best Nitro [SEP] do brewed coffee [SEP] enjoy expresso [SEP] broken Apple Pay [SEP] smooth coffee [SEP] great service [SEP] nice Quarter mall [SEP] great Scottsdale [SEP] hipster vibe [SEP] run of the mill Starbucks [SEP] Friendly staff [SEP] friendly service [SEP] Bomb cold brew,"this is one of the best coffee shops i have been to. the service was great, the staff was friendly and the coffee was smooth and strong. the coffee and coffee were good and the espresso was smooth as well. i love that they have a great cup of coffee in the back of the day. i love the"
0XoTT540HMB_5q4Exj8yGA,best brunch experience [SEP] poolside seating [SEP] elegant setting [SEP] friendly staff [SEP] professional service [SEP] quiet hotel [SEP] great places restaurants [SEP] available Pool side seating [SEP] great place [SEP] impeccable staff [SEP] very clean suite [SEP] very comfortable bed [SEP] recommend hotel [SEP] delightful stay [SEP] top shelf services,this is one of the best hotel restaurants i have stayed at. the staff is very professional and the rooms are very clean. the service is great and the hotel is very clean. i would highly recommend this hotel if you are looking for a quiet place to stay away from the strip. the staff are friendly and the
7OQ7lhIsjLSmf-3012LAuw,always fresh food [SEP] excellent food [SEP] better service [SEP] healthy foods [SEP] fresh juices [SEP] never a long wait [SEP] good Lemonade [SEP] Very cool atmosphere [SEP] delicious forbidden rice [SEP] Great fresh food [SEP] Always clean [SEP] quick bite [SEP] Perfect for lunch [SEP] better Parking [SEP] Gluten free grilled steak wrap,"the food is always fresh and the service is excellent. the atmosphere is cool and the food has always been fresh and tasty. the wait time can be a little long, but the food comes out fast and the wait staff is very cool and friendly. i love that they have a gluten free option for gluten free meals."
6TDdpon8LosFXvjL9QJdYg,best massages [SEP] better stylist [SEP] gentlest stylist [SEP] substantially higher price [SEP] proactive owner [SEP] best haircuts [SEP] fine dark hair [SEP] unsure of hair [SEP] fine hair [SEP] great cut [SEP] nice color [SEP] fabulous place [SEP] beautiful highlights [SEP] magical hands [SEP] best scalp massage,this is the best hair stylist i have ever had! i have been going here for about a year now and have never had a bad experience. i have never been disappointed with a hair stylist and she is the most beautiful hair stylist i've ever had in my life. she does a great job on my hair and
6qKhUQwyMLBl9ehwB-cfxQ,pretty desserts [SEP] really great gelato [SEP] pretty good latte [SEP] consistent throughout chocolate [SEP] wonderful everything [SEP] massive buffet line [SEP] yummy gelatos [SEP] really good mini cakes [SEP] fabulous establishment [SEP] fire strawberry cheesecake [SEP] great coffee [SEP] Individual sized desserts [SEP] unlikely Baguettes [SEP] moist pumpkin bread,this is a really great establishment. i have been here a few times and each time i have had a great experience each time. the desserts are really good and the desserts and desserts are delicious. the desserts have a great variety of desserts and everything i've had here has been delicious. the chocolate chip cookie is to die
7wst00GRGs8qsuf2QtsnaA,super divey [SEP] Velvet wallpaper [SEP] enjoy bar [SEP] mixed crowd [SEP] classic champagnes [SEP] much better bar [SEP] great service [SEP] very attentive bartender [SEP] dark bar [SEP] dive atmosphere [SEP] awesome decor [SEP] good beer [SEP] Standard video poker [SEP] awesome karaoke [SEP] priced well Drinks,"i have been here a few times now and have never had a bad experience. the service is awesome and the bartenders are super attentive and make you feel welcome. the bar is very laid out and the atmosphere is great. the bar tenders are awesome and they have a good mix of craft beers on tap, which is"
50KEvLtQl9Vv4YE1vs681Q,great place [SEP] $ 14 price [SEP] inaccurate menu [SEP] unhappy prices [SEP] rude customer service [SEP] always fast and friendly service [SEP] high ceiling [SEP] comfortable atmosphere [SEP] spacious dining room [SEP] round enclosed booth [SEP] just ok tom yum soup [SEP] not the good fat noodles noodles [SEP] Very mild flavor [SEP] really good food [SEP] pretty good summer rolls,this place is pretty good. the food is good and the service is fast and friendly. the atmosphere is very spacious and the dining room is comfortable. the prices are good but the quality of the food has gone down hill. i had the pad thai and it was really bad. the noodles were good but not great. the
41ojNbT0vv2Rtto8yPcwSg,Great place [SEP] very friendly Staff [SEP] Fun place [SEP] great value [SEP] is Price [SEP] great setup [SEP] fine everything [SEP] great deal [SEP] a little small place [SEP] fun courses [SEP] smallest holes [SEP] super clean bathrooms [SEP] awesome idea [SEP] unique mini putt [SEP] Great atmosphere inside,"this is a great place to go for a fun night out. the atmosphere is great and the staff is super friendly. the place is very clean and the bathrooms are a great value. the price is a little steep for the amount of food you get, but it's a great value and a fun place to have a"
eIKfZrqmpiHLMYslnHGIWE,Great customer [SEP] convenient parking [SEP] easy location [SEP] good service [SEP] really nice pharmacy tech [SEP] nicer location [SEP] never negative shopping experience [SEP] Great products [SEP] great prices [SEP] great store [SEP] super helpful guest [SEP] could orders [SEP] best experience [SEP] sweetest disposition [SEP] knowledgeable products,this is by far the nicest walmart i have ever been to. the staff is always super helpful and the location is great. the customer service is great and the prices are great. the store is really easy to find and they have a good selection of products to choose from. they also have a great rewards program which
5VXsbrqyJx0a4iaa43RNFA,very nice breakfast place [SEP] great food [SEP] love service [SEP] just OK food [SEP] always friendly staff [SEP] Great hip breakfast [SEP] excellent waitress Kayla [SEP] unique options [SEP] young staff [SEP] better Egg [SEP] negative reviews [SEP] OK biscuits and gravy [SEP] friendly waitress [SEP] yummy Bloody Mary mix [SEP] decent ambience,i love this place. the staff is always friendly and the food is decent. i have been here a few times and have never had a bad experience. the food has been decent and the service has always been excellent. the biscuits and gravy are great and the biscuits are a nice touch. the decor is very hip and
BCzGaeDcsnqnKTgqjteMDn,terrible service [SEP] Mediocre ramen [SEP] Okay ramen [SEP] was out of this world Creamy Tonkotsu [SEP] recommend Cashu fried rice [SEP] were Brussel sprouts [SEP] pretty good Ramen [SEP] good flavor broth [SEP] pretty good fried octopus balls [SEP] salty dish water Ramen broth [SEP] good service [SEP] clean place [SEP] good music [SEP] very good ramens [SEP] really good green salads,the service was good and the place was pretty clean. the ramen was good but the ramen itself was terrible. i had the spicy ramen and it was pretty good. i also had the ramen ramen which was pretty good but it was a bit too salty for my liking. i also got the miso ramen which had a
6B-sZzuNYnVz5sk2c4EfHA,really good Food [SEP] great customer service [SEP] great product [SEP] very friendly & inviting service [SEP] delicious ribs [SEP] excellent sauce [SEP] out of collard greens [SEP] a bit plain mac and cheese [SEP] disappointed place [SEP] bad service [SEP] upbeat attitude [SEP] recommend pig sandwich [SEP] perfectly meats [SEP] not tender and juicy brisket [SEP] ok Ribs,this was my first time here and i was not disappointed. the service was great and the food was excellent. i ordered the brisket sandwich and it was very tender and juicy. the ribs were juicy and the meat was tender. the mac and cheese was also excellent. i would definitely recommend this place to anyone looking for a
5CTmFgqxx7nl8jzQK2Du-A,amazing Nari [SEP] horrible experience [SEP] amazing ladies [SEP] best eyebrows [SEP] liked place [SEP] great customer service [SEP] Fabulous Eyebrow Threading [SEP] very clean and organized places [SEP] sell really nice [SEP] always on point brows [SEP] Always satisfied work,this place is amazing! i have been coming here for a few years now and have never had a bad experience. the ladies at the front desk are always so nice and the customer service is top notch. i really liked this place because they have the best pedicures i've ever had and i've never had an issue with
7xfeQhen2wLnvFuQNvmTAg,Amazing food [SEP] good Indian food [SEP] out of this world dessert mango kulfi [SEP] no wait [SEP] delicious Everything [SEP] great Service [SEP] overpriced mediocre [SEP] forgotten apps [SEP] love spicy food [SEP] adventurous eater [SEP] Never offered a refill beers [SEP] Lousy experience [SEP] reasonable prices [SEP] lots of craft beer [SEP] full mixed drinks,i love this place. the food is delicious and the prices are reasonable. we have been here a few times and have never had a bad experience. the service is outstanding and the wait times are reasonable. the food has been mediocre at best and the drinks are delicious. i love that they have a lot of beers on
8MWiywu09bhLWIpzVaD4gw,horrible service [SEP] nt worth food [SEP] Rude aggressive staff [SEP] nice OJ [SEP] folksy atmosphere [SEP] not exactly varied omelette topping choices [SEP] killer brunch [SEP] great conversation [SEP] loved experience [SEP] must visit brunch place [SEP] too long line [SEP] amazing house [SEP] converted house [SEP] Delicious grilled cheese [SEP] awesome potato salad,this place is a must try if you are in the area! the atmosphere is awesome and the staff is so friendly. the food is amazing and the service is amazing. i had the grilled cheese sandwich and it was amazing. i loved the house salad and the turkey was a little bit too sweet for my taste. the
0TYd9CxJMqaqO6svyWym6A,Best shawarma place [SEP] huge portions [SEP] great Combos [SEP] amazing place [SEP] Authentic flavour [SEP] value sized portions [SEP] Excellent shawarma [SEP] great flavours [SEP] big Poutine [SEP] best shwarma place [SEP] Very fast service [SEP] amazing taste of [SEP] very fresh ingredients [SEP] very quick staff [SEP] very moist and flavourful chicken,this is the best shawarma place i have ever been to. the portions are huge and the quality is amazing. the staff is very quick and the service is quick. the place is very big and has a great value for the money. i had the chicken shawarma and it was amazing. the portions were huge and very filling.
4iACB0ppsvwA2mFvLJoNbA,good experience overall [SEP] dope place [SEP] great work [SEP] fantastic business man [SEP] awesome staff [SEP] very sweet blonde [SEP] perfect jewelry [SEP] clean shop [SEP] sterile equipment [SEP] professional Terry [SEP] small price [SEP] beautiful script [SEP] liked designs [SEP] recommend tattoo shop,this is a beautiful little shop in the heart of las vegas. the staff is fantastic and the shop is very clean and organized. the shop itself is clean and has a great sense of humor. i really liked the fact that the prices are a little on the higher end but the quality of the work is fantastic.
1QwX7Cgkm6KnlcGNDTh6EQ,tasty food [SEP] excellent Service [SEP] liked bathroom [SEP] huge Shrimp cocktail [SEP] Good Ravioli [SEP] Delicious big Lobster Mac and Cheese [SEP] very nice and polite staff [SEP] not smell good bathroom [SEP] better experience [SEP] extremely hostess [SEP] unprofessional reservation [SEP] fantastic server [SEP] Overpriced Menu [SEP] fine fresh squeezed lime [SEP] delicious fried chicken sandwich,the food was delicious and the service was excellent. the hostess was very polite and polite. the waitress was extremely polite and polite and the menu was huge. i had the lobster bisque which was huge and very tasty. the lobster mac and cheese was delicious but the lobster sandwich was a huge disappointment. i also liked the lobster
1aj4TG0eFq6NaPBKk6bK7Q,good service [SEP] not very fresh salad [SEP] very fresh tasting Food [SEP] delicious sandwiches [SEP] great meal [SEP] crispier fries [SEP] delicious risotto with shrimp and asparagus [SEP] decadent desserts [SEP] enjoyed brownie [SEP] very good Sweet potato fries [SEP] not recommend lunch spot [SEP] Really good food [SEP] half assed stares [SEP] overpriced Drip coffee [SEP]  Hidden lunch,this place is a hidden gem. the food is very fresh and delicious. i had the fried chicken sandwich and it was really good. my husband had the chicken salad and he said it was very good. the bread was fresh and the coffee was very good too. the service was great and the food was delicious. i would
7GGJlp1aWfcXGQz6q7SkXQ,Terrible service [SEP] very manager [SEP] Good layout [SEP] friendly staff [SEP] excellent waffle fries [SEP] terrible ratio [SEP] cold Philly sliders [SEP] tiny menu [SEP] simple bar food [SEP] unprofessional Manager [SEP] awesome for place [SEP] premium drinks [SEP] $ 100 seat [SEP] really good food [SEP] great experience,"this place is awesome! the food is good, but the service is terrible. the staff is terrible. i had a terrible experience with a group of friends and we had to wait for a table to be seated. the staff was very friendly and the manager came over to check on us to make sure we were ok. the"
lcBsIoqhHBBelhyrnByVal,pretty good roll [SEP] fresh sushi [SEP] nice presentation [SEP] interesting Willis [SEP] great flavors [SEP] must textures [SEP] Flat tap water [SEP] weak wasabi [SEP] dry Rice [SEP] absolutely delicious Chirashi [SEP] wonderful fish [SEP] loved decor [SEP] good portions [SEP] deserve taste of food [SEP] to die love salmon,"i love this place! the decor is nice and the food is absolutely delicious. the sushi is fresh and the presentation is great. i had the fish and chips which were to die for. i had a fish and chips, which were absolutely delicious. i also had the salmon roll and it was to die for! the presentation was"
5PZefPGncZH6AWMqPY2m9g,super great place [SEP] great service [SEP] clean place [SEP] Great facility [SEP] very smoothly birthday parties [SEP] disappointed pizza [SEP] wierd looking sliders [SEP] very good cake [SEP] coolest arena [SEP] unlimited days for [SEP] Nice service [SEP] Good deals [SEP] Fun arcade [SEP] helpful serving staff [SEP] comfortable parents,this is a great place to go if you are in the mood for pizza. the place is very clean and the staff is very helpful. the service is great and the food is good. i had the buffalo pizza and it was very good. i also had a caesar salad which was a good size and a nice
3l5TusofKjr8rk6-DDtuoQ,very good service [SEP] good food [SEP] great meals [SEP] perfect environment [SEP] complemented live music [SEP] authentically Middle Eastern [SEP] average Shawarma [SEP] great restaurant [SEP] amazing chicken kabob [SEP] Authentic sophisticated flavors [SEP] fabulous Mixed Grilled Meat platter [SEP] generously topped feta Greek Salad [SEP] enjoyed sauces [SEP] welcoming staff [SEP] clean place,this is a great place to get authentic greek food. i had the greek salad and it was incredible. i had a greek salad which was incredible. the hummus was good and the sauces were perfect. the service was great and the staff was very friendly. the environment is very clean and the music is perfect for a date.
